CountryCode,iso_code,Year,Week,Unique,RTotal
AUT,AUT,2019,29,AUT292019,0.008374154
AUT,AUT,2019,30,AUT302019,0.009117873
AUT,AUT,2019,31,AUT312019,0.008532268
AUT,AUT,2019,32,AUT322019,0.008233609
AUT,AUT,2019,33,AUT332019,0.008239465
AUT,AUT,2019,34,AUT342019,0.008508844
AUT,AUT,2019,35,AUT352019,0.008789934
AUT,AUT,2019,36,AUT362019,0.008333162
AUT,AUT,2019,37,AUT372019,0.008239465
AUT,AUT,2019,38,AUT382019,0.008502988
AUT,AUT,2019,39,AUT392019,0.009217426
AUT,AUT,2019,40,AUT402019,0.009106161
AUT,AUT,2019,41,AUT412019,0.009322835
AUT,AUT,2019,42,AUT422019,0.00876651
AUT,AUT,2019,43,AUT432019,0.0090476
AUT,AUT,2019,44,AUT442019,0.008994896
AUT,AUT,2019,45,AUT452019,0.009106161
AUT,AUT,2019,46,AUT462019,0.009123729
AUT,AUT,2019,47,AUT472019,0.009094449
AUT,AUT,2019,48,AUT482019,0.009287699
AUT,AUT,2019,49,AUT492019,0.009363827
AUT,AUT,2019,50,AUT502019,0.009762039
AUT,AUT,2019,51,AUT512019,0.009316979
AUT,AUT,2019,52,AUT522019,0.009580501
AUT,AUT,2020,1,AUT12020,0.009386517
AUT,AUT,2020,2,AUT22020,0.009877163
AUT,AUT,2020,3,AUT32020,0.010461264
AUT,AUT,2020,4,AUT42020,0.010356126
AUT,AUT,2020,5,AUT52020,0.011337417
AUT,AUT,2020,6,AUT62020,0.009783706
AUT,AUT,2020,7,AUT72020,0.010011506
AUT,AUT,2020,8,AUT82020,0.01003487
AUT,AUT,2020,9,AUT92020,0.010286034
AUT,AUT,2020,10,AUT102020,0.010128326
AUT,AUT,2020,11,AUT112020,0.010011506
AUT,AUT,2020,12,AUT122020,0.010677382
AUT,AUT,2020,13,AUT132020,0.010256829
AUT,AUT,2020,14,AUT142020,0.010636495
AUT,AUT,2020,15,AUT152020,0.010478787
AUT,AUT,2020,16,AUT162020,0.009877163
AUT,AUT,2020,17,AUT172020,0.009228809
AUT,AUT,2020,18,AUT182020,0.008597979
AUT,AUT,2020,19,AUT192020,0.008854984
AUT,AUT,2020,20,AUT202020,0.008644708
AUT,AUT,2020,21,AUT212020,0.008627185
AUT,AUT,2020,22,AUT222020,0.008235836
AUT,AUT,2020,23,AUT232020,0.008662231
AUT,AUT,2020,24,AUT242020,0.008510364
AUT,AUT,2020,25,AUT252020,0.008212472
AUT,AUT,2020,26,AUT262020,0.00837018
AUT,AUT,2020,27,AUT272020,0.009076943
AUT,AUT,2020,28,AUT282020,0.008048924
AUT,AUT,2020,29,AUT292020,0.008405226
AUT,AUT,2020,30,AUT302020,0.008440272
AUT,AUT,2020,31,AUT312020,0.00889003
AUT,AUT,2020,32,AUT322020,0.008335134
AUT,AUT,2020,33,AUT332020,0.009363153
AUT,AUT,2020,34,AUT342020,0.008568774
AUT,AUT,2020,35,AUT352020,0.008691436
AUT,AUT,2020,36,AUT362020,0.008866666
AUT,AUT,2020,37,AUT372020,0.009123671
AUT,AUT,2020,38,AUT382020,0.009111989
AUT,AUT,2020,39,AUT392020,0.0089426
AUT,AUT,2020,40,AUT402020,0.009187922
AUT,AUT,2020,41,AUT412020,0.00946245
AUT,AUT,2020,42,AUT422020,0.009415722
AUT,AUT,2020,43,AUT432020,0.010350285
AUT,AUT,2020,44,AUT442020,0.011016161
AUT,AUT,2020,45,AUT452020,0.011705401
AUT,AUT,2020,46,AUT462020,0.013335046
AUT,AUT,2020,47,AUT472020,0.014024286
AUT,AUT,2020,48,AUT482020,0.014181993
AUT,AUT,2020,49,AUT492020,0.014859551
AUT,AUT,2020,50,AUT502020,0.014474044
AUT,AUT,2020,51,AUT512020,0.013171497
AUT,AUT,2020,52,AUT522020,0.012400483
AUT,AUT,2020,53,AUT532020,0.011682037
AUT,AUT,2021,1,AUT12021,0.011403502
AUT,AUT,2021,2,AUT22021,0.011409341
AUT,AUT,2021,3,AUT32021,0.011695451
AUT,AUT,2021,4,AUT42021,0.011327596
AUT,AUT,2021,5,AUT52021,0.010860478
AUT,AUT,2021,6,AUT62021,0.010177319
AUT,AUT,2021,7,AUT72021,0.010013828
AUT,AUT,2021,8,AUT82021,0.009698524
AUT,AUT,2021,9,AUT92021,0.009219729
AUT,AUT,2021,10,AUT102021,0.010200675
AUT,AUT,2021,11,AUT112021,0.009873693
AUT,AUT,2021,12,AUT122021,0.009628456
AUT,AUT,2021,13,AUT132021,0.010329132
AUT,AUT,2021,14,AUT142021,0.009704363
AUT,AUT,2021,15,AUT152021,0.00989121
